Open	High	Low	Close	Volume
308.52	308.52	308.52	308.52	5.18615
308.55	308.55	308.04	308.23	56.57292
308.23	308.23	308.23	308.23	6.15464
308.23	308.23	308.23	308.23	0.0
308.62	308.62	308.62	308.62	1.76206
308.62	308.62	308.62	308.62	0.79998
308.62	308.62	308.62	308.62	0.55663
308.62	308.62	308.62	308.62	0.69719
308.62	308.62	308.62	308.62	5.08415
308.62	308.62	308.62	308.62	0.32941
309.72	309.72	309.72	309.72	8.5052
309.62	309.62	309.62	309.62	1.65747
309.62	309.62	309.62	309.62	1.09264
309.62	309.62	309.62	309.62	0.55121
309.62	309.62	309.62	309.62	2.25266
309.62	309.62	309.62	309.62	1.1842
309.62	309.62	309.62	309.62	0.38716
309.62	309.62	309.62	309.62	0.39867
309.62	309.62	309.52	309.52	9.33985
309.52	309.52	309.52	309.52	1.62034
309.52	309.52	309.52	309.52	0.95683
308.45	308.45	308.45	308.45	48.7083
309.52	309.52	309.15	309.15	5.20254
309.15	309.15	309.15	309.15	7.30981
309.15	309.15	309.15	309.15	0.0
309.15	309.15	309.15	309.15	3.99643
309.15	309.15	309.15	309.15	0.18896
309.15	309.15	309.15	309.15	0.48309
309.15	309.52	309.15	309.52	2.92315
309.52	309.52	309.52	309.52	2.96949
309.51	309.51	309.51	309.51	0.81074
309.51	309.51	309.51	309.51	0.66868
309.51	309.52	309.51	309.52	3.82806
309.52	309.52	309.52	309.52	0.14066
309.52	309.52	309.52	309.52	5.1303
309.52	309.52	309.52	309.52	0.0
309.52	309.52	309.52	309.52	0.60177
309.52	309.52	309.52	309.52	0.0
309.52	309.52	309.52	309.52	1.03523
309.52	309.52	309.52	309.52	0.84216
309.52	309.52	309.52	309.52	0.99856
309.52	309.52	309.52	309.52	1.73587
309.52	309.52	309.52	309.52	1.71003
309.52	309.52	309.52	309.52	0.03835
309.52	309.52	309.52	309.52	1.11652
309.52	309.52	309.52	309.52	0.0
309.52	309.52	309.52	309.52	0.75425
309.52	309.52	309.52	309.52	79.52438
309.52	309.52	309.52	309.52	3.34611
309.52	309.52	309.52	309.52	5.13211
309.52	309.52	309.52	309.52	0.0
309.52	309.52	308.77	308.77	18.66091
308.77	308.77	308.77	308.77	0.82019
308.0	308.77	308.0	308.77	2.66763
308.77	308.77	308.77	308.77	0.46888
308.77	308.77	308.77	308.77	4.93651
308.77	308.77	308.77	308.77	3.32054
308.07	308.07	308.07	308.07	48.68035
308.77	308.77	308.77	308.77	0.64257
308.77	308.77	308.77	308.77	1.14165
308.77	308.77	308.77	308.77	0.88942
308.77	308.77	308.77	308.77	1.65282
308.77	308.77	308.77	308.77	0.16103
307.77	308.77	307.77	308.77	4.70677
308.77	309.4	307.77	309.4	6.60847
309.4	309.4	307.77	307.77	1.93308
307.77	309.4	307.77	309.4	0.03707
307.77	307.77	307.77	307.77	0.9863
307.77	308.45	307.77	308.45	21.61702
308.45	308.45	308.45	308.45	20.9624
308.23	308.23	308.23	308.23	15.29726
308.23	308.23	308.23	308.23	5.29104
307.25	308.23	307.25	308.23	65.79249
307.9	307.9	307.9	307.9	3.70704
307.9	307.9	307.78	307.9	78.74224
307.23	307.78	307.03	307.23	24.465
307.23	307.23	307.23	307.23	0.0
307.03	307.03	307.03	307.03	5.3819
305.49	305.49	305.49	305.49	50.32874
307.03	307.24	307.03	307.24	21.56289
307.24	307.24	307.24	307.24	0.0
307.23	307.23	307.23	307.23	0.68983
307.23	307.23	307.23	307.23	2.93081
307.23	307.23	307.23	307.23	4.8769
307.23	307.23	307.23	307.23	0.0
307.23	307.23	306.81	306.81	22.15771
306.81	306.81	306.81	306.81	0.0
307.12	307.12	307.12	307.12	6.70617
307.12	307.12	307.12	307.12	1.94185
307.12	307.12	307.12	307.12	0.0
307.12	307.12	307.12	307.12	4.02136
307.12	307.12	307.12	307.12	3.45436
305.54	307.59	305.54	307.59	52.84895
307.59	307.59	307.59	307.59	0.43267
307.59	307.59	307.59	307.59	0.73766
307.59	307.59	307.59	307.59	0.0
307.59	307.59	307.59	307.59	0.71522
307.59	307.59	307.59	307.59	0.0
307.59	307.59	307.59	307.59	1.11321
307.59	307.59	307.59	307.59	0.371
307.59	307.59	307.58	307.58	1.91707
307.58	307.58	307.58	307.58	0.27358
307.58	307.58	307.58	307.58	1.98276
307.58	307.58	307.58	307.58	0.14339
307.58	307.58	307.58	307.58	0.74168
307.58	307.59	307.58	307.59	3.7068
307.59	307.59	307.59	307.59	4.15506
307.67	307.67	307.67	307.67	14.46369
307.67	307.67	307.67	307.67	36.04218
307.58	308.71	307.23	307.23	6.29982
307.23	307.23	307.23	307.23	8.85971
307.23	307.23	307.23	307.23	0.0
307.23	307.23	307.23	307.23	3.23553
307.23	307.23	307.23	307.23	12.28635
307.23	307.23	307.23	307.23	14.26322
307.23	307.23	307.23	307.23	0.0
307.23	307.23	307.23	307.23	7.06911
306.22	307.23	306.22	306.43	83.45159
